变量名,值,
company_name,大冶特殊钢有限公司,
reporting_period,2024年1月1日至2024年12月31日,
document_number,DY-GHG-2025-02,
posted_time,2025年7月3日,
Unified_Social_Credit_Identifier,91420000798750168P,
legal_person,蒋乔,
registered_capital,207218.53万元,
date_of_establishment,2007年3月9日,
registered_address,湖北省黄石市黄石大道316号,
production_address,湖北省黄石市黄石大道316号,
scope_of_business,大冶特殊钢有限公司成立于2007年03月09日，注册地位于湖北省黄石市黄石大道316号，法定代表人为蒋乔。经营范围包括黑色、有色金属冶炼、压延加工；生产、销售高温合金材料、耐蚀合金材料、铁矿石、钢坯、钢锭、钢材、金属制品、钢管及管件和相应的工业辅助材料及承接来料加工业务；钢铁和合金材料检测；再生资源回收经营；货物或技术进出口（国家限定公司经营或禁止进出口的商品和技术除外）；机械零件、汽车零部件制造和加工；机械、仪表、电器制造和修理；化工产品（不含危险品和限制类产品）制造；港口码头建设及经营；煤气、热力、自来水、工业用水生产和供应；餐饮经营与管理。（涉及许可经营项目，应取得相关部门许可后方可经营）。,
company_profile,"大冶特殊钢有限公司（简称：大冶特钢）是中国近代“钢铁摇篮”，地处中国矿冶之都、先进制造业基地湖北省黄石市。隶属中信泰富特钢集团，是其沿海沿江产业链的战略布局中的重要一环。
大冶特钢是国家高新技术企业、全国首批两化融合示范企业、全国首批绿色制造示范企业、全国绿化模范单位。拥有国家认定企业技术中心、院士专家工作站、博士后科研工作站、高品质特殊钢湖北省重点实验室，先后承担国家多项冶金课题的项目攻关，主持或参与起草修订了多项国家和行业技术标准。先后荣获“全国质量奖”、“全国质量标杆”、“中国工业大奖表彰奖”，多项产品荣获国家冶金产品实物质量“金杯奖”、“国家科学技术进步一等奖、二等奖”、“冶金科学技术奖一等奖”、“国家知识产权优势企业”、“中国航天突出贡献供应商”、“中国工模具行业最具影响力钢厂品牌”等奖项。
大冶特钢是中国品种规格最齐全的高品质棒材、高端中厚壁无缝钢管、高合金锻材三大特钢生产基地，工艺技术和装备具备世界先进水平。主要产品有轴承钢、汽车用钢、能源用钢、工程机械用钢、航空航天用钢等。主要服务于航天航空、海洋、核电、风电、交通、火电、油气、工程机械、重燃、船舶、石化、汽车、高铁等关键领域。
从中国第一炉电渣钢到第一根极薄壁高温合金旋压管，从第一个飞机用高温合金涡轮盘，到第一根轧制的飞机大梁(毛坯)，从中国第一颗人造地球卫星，到神舟系列飞船的上天，到“嫦娥”奔月，再到“天宫”“北斗”发射升空，大冶特钢均提供了关键部件的用钢。工程机械用无缝钢管已连续13年产销量全国第一、13年全球第一，石油工具及装备用中厚壁无缝钢管连续10年产销量全国第一，大口径厚壁高压锅炉用管连续5年产销量全国第一。
大冶特钢秉承“诚信、创新、融合、卓越”的理念，牢记为客户创造价值，为员工创造幸福，为股东创造效益，为社会创造财富的企业使命，致力于为客户提供多规格、多品种、高品质的特殊钢产品及整体服务方案，致力于“创建全球最具竞争力的特钢企业集团”。",
deadline,2025年6月底前,
rule_file,大冶特殊钢温室气体盘查控制程序（DY-GHG-2023）,
GWP_Value_Reference_Document,IPCC 2021年出具的《第六次评估报告AR6》,
evaluation_score,5.89,
evaluation_level,优,
source_file,《温室气体盘查清册》-表2 不确定性评估,
,,
,,
scope_1_emissions,7122248.834,
scope_2_location_based_emissions,1069378.748,
scope_2_market_based_emissions,1161900.332,
scope_3_emissions,7332407.745,
scope_3_category_1_emissions,2710165.619,
scope_3_category_2_emissions,51806.97034,
scope_3_category_3_emissions,2016736.072,
scope_3_category_4_emissions,362284.2527,
scope_3_category_5_emissions,147636.0319,
scope_3_category_6_emissions,1670.173454,
scope_3_category_7_emissions,13322.57649,
scope_3_category_8_emissions,0,
scope_3_category_9_emissions,274585.6072,
scope_3_category_10_emissions,1746619.96,
scope_3_category_11_emissions,3833.135483,
scope_3_category_12_emissions,3747.34696,
scope_3_category_13_emissions,0,
scope_3_category_14_emissions,0,
scope_3_category_15_emissions,0,
,,
,,
,,
,,
,,
,,
,,
范围一直接排放源,,
GHG排放类别,排放源,设施
固定燃烧,天然气燃烧,热处理炉（加热炉）
固定燃烧,液化石油气燃烧,冶钢宾馆
固定燃烧,烟煤燃烧,高炉
固定燃烧,无烟煤燃烧,高炉、烧结
固定燃烧,洗精煤燃烧,焦炉
固定燃烧,焦炭燃烧,高炉
固定燃烧,焦屑燃烧,烧结、高炉
固定燃烧,焦炉煤气燃烧,外售
移动燃烧,0#柴油燃烧,场内运输
移动燃烧,92#汽油燃烧,公务车
逸散排放,制冷剂逸散（R32）,分体式空调
逸散排放,CO2逸散,二氧化碳灭火器
逸散排放,CH4逸散,化粪池
逸散排放,CH4逸散,厌氧池
逸散排放,SF6逸散,高压开关
制程排放,石灰石,石灰窑
制程排放,白云石,高炉
制程排放,电极,炼钢
制程排放,增碳剂,炼钢
制程排放,废钢,炼钢
制程排放,锰铁,炼钢
制程排放,镍铁,炼钢
制程排放,铬铁,炼钢
制程排放,硅铁,炼钢
制程排放,钼铁,炼钢
制程排放,钢坯,固碳产品
制程排放,粗苯,外售
,,
,,
,,
范围二、三直接排放源,,
GHG排放类别,排放源,设施
输入能源间接温室气体排放,外购电力（基于位置）,用电设备
输入能源间接温室气体排放,外购电力（基于市场）,用电设备
外购商品和服务的上游排放,铁矿石生产,烧结、高炉
外购商品和服务的上游排放,生石灰生产,烧结、转炉、电炉
外购商品和服务的上游排放,石灰石生产,转炉
外购商品和服务的上游排放,白云石生产,烧结、转炉、电炉
外购商品和服务的上游排放,轻烧白云石生产,转炉、电炉
外购商品和服务的上游排放,球团生产,高炉、转炉
外购商品和服务的上游排放,废钢生产,转炉、电炉
外购商品和服务的上游排放,电极生产,转炉、电炉
外购商品和服务的上游排放,锰铁生产,转炉、电炉
外购商品和服务的上游排放,镍铁生产,转炉、电炉
外购商品和服务的上游排放,铬铁生产,转炉、电炉
外购商品和服务的上游排放,萤石生产,转炉、电炉
外购商品和服务的上游排放,硅铁生产,转炉、电炉
外购商品和服务的上游排放,钼铁生产,转炉、电炉
外购商品和服务的上游排放,铝铁生产,转炉、电炉
外购商品和服务的上游排放,铝生产,转炉、电炉
外购商品和服务的上游排放,增碳剂生产,转炉、电炉
外购商品和服务的上游排放,铁鳞生产,炼钢
外购商品和服务的上游排放,氨水生产,烧结
外购商品和服务的上游排放,碳化硅生产,-
外购商品和服务的上游排放,镁生产,-
外购商品和服务的上游排放,所有其他纸制品加工制造,办公室
外购商品和服务的上游排放,办公用品(纸张除外)制造,办公室
外购商品和服务的上游排放,源水,水处理工序
资本货物,采购产品空调和暖空气加热设备和商业和工业制冷设备制造,办公室、各工序
资本货物,电子计算机制造,办公室、各工序
资本货物,焊接及焊接设备制造,各工序
资本货物,其他工业设备制造,各工序
资本货物,所有其他杂项电气设备及元件制造,各工序
资本货物,所有其他杂项制造,各工序
范围一、二相关燃料和能源相关的活动产生的排放,液化石油气生产,冶钢宾馆
范围一、二相关燃料和能源相关的活动产生的排放,洗精煤生产,焦化
范围一、二相关燃料和能源相关的活动产生的排放,柴油生产,各工序
